time_s,type,name,field,value,units
0.1,control_surface,Flap_T,deflection,10,deg
0.1,control_surface,Flap_L,deflection,10,deg
0.1,control_surface,Flap_R,deflection,10,deg
0.1,control_surface,Flap_B,deflection,10,deg
2.1,control_surface,Flap_T,deflection,-10,deg
2.1,control_surface,Flap_L,deflection,-10,deg
2.1,control_surface,Flap_R,deflection,-10,deg
2.1,control_surface,Flap_B,deflection,-10,deg
3.1,control_surface,Flap_T,deflection,20,deg
3.1,control_surface,Flap_L,deflection,20,deg
3.1,control_surface,Flap_R,deflection,20,deg
3.1,control_surface,Flap_B,deflection,20,deg
3.1,control_surface,Flap_T,deflection,-20,deg
3.1,control_surface,Flap_L,deflection,-20,deg
3.1,control_surface,Flap_R,deflection,-20,deg
3.1,control_surface,Flap_B,deflection,-20,deg
4.1,control_surface,Flap_T,deflection,30,deg
4.1,control_surface,Flap_L,deflection,30,deg
4.1,control_surface,Flap_R,deflection,30,deg
4.1,control_surface,Flap_B,deflection,30,deg
5.1,control_surface,Flap_T,deflection,-30,deg
5.1,control_surface,Flap_L,deflection,-30,deg
5.1,control_surface,Flap_R,deflection,-30,deg
5.1,control_surface,Flap_B,deflection,-30,deg
6.1,control_surface,Flap_T,deflection,40,deg
6.1,control_surface,Flap_L,deflection,40,deg
6.1,control_surface,Flap_R,deflection,40,deg
6.1,control_surface,Flap_B,deflection,40,deg
7.1,control_surface,Flap_T,deflection,-40,deg
7.1,control_surface,Flap_L,deflection,-40,deg
7.1,control_surface,Flap_R,deflection,-40,deg
7.1,control_surface,Flap_B,deflection,-40,deg
6.1,control_surface,Flap_T,deflection,50,deg
6.1,control_surface,Flap_L,deflection,50,deg
6.1,control_surface,Flap_R,deflection,50,deg
6.1,control_surface,Flap_B,deflection,50,deg
7.1,control_surface,Flap_T,deflection,-50,deg
7.1,control_surface,Flap_L,deflection,-50,deg
7.1,control_surface,Flap_R,deflection,-50,deg
7.1,control_surface,Flap_B,deflection,-50,deg
8.1,control_surface,Flap_T,deflection,60,deg
8.1,control_surface,Flap_L,deflection,60,deg
8.1,control_surface,Flap_R,deflection,60,deg
8.1,control_surface,Flap_B,deflection,60,deg
9.1,control_surface,Flap_T,deflection,-60,deg
9.1,control_surface,Flap_L,deflection,-60,deg
9.1,control_surface,Flap_R,deflection,-60,deg
9.1,control_surface,Flap_B,deflection,-60,deg
10.1,control_surface,Flap_T,deflection,70,deg
10.1,control_surface,Flap_L,deflection,70,deg
10.1,control_surface,Flap_R,deflection,70,deg
10.1,control_surface,Flap_B,deflection,70,deg
11.1,control_surface,Flap_T,deflection,-70,deg
11.1,control_surface,Flap_L,deflection,-70,deg
11.1,control_surface,Flap_R,deflection,-70,deg
11.1,control_surface,Flap_B,deflection,-70,deg
12.1,control_surface,Flap_T,deflection,80,deg
12.1,control_surface,Flap_L,deflection,80,deg
12.1,control_surface,Flap_R,deflection,80,deg
12.1,control_surface,Flap_B,deflection,80,deg
13.1,control_surface,Flap_T,deflection,-80,deg
13.1,control_surface,Flap_L,deflection,-80,deg
13.1,control_surface,Flap_R,deflection,-80,deg
13.1,control_surface,Flap_B,deflection,-80,deg
14.1,control_surface,Flap_T,deflection,90,deg
14.1,control_surface,Flap_L,deflection,90,deg
14.1,control_surface,Flap_R,deflection,90,deg
14.1,control_surface,Flap_B,deflection,90,deg
15.1,control_surface,Flap_T,deflection,-90,deg
15.1,control_surface,Flap_L,deflection,-90,deg
15.1,control_surface,Flap_R,deflection,-90,deg
15.1,control_surface,Flap_B,deflection,-90,deg
